"numenq","sch_lev","farm_f","trad_f","exec_f","tech_f","whc_f","blc_f","noocc_f","farm_m","trad_m","exec_m","tech_m","whc_m","blc_m","noocc_m","orfr","oroecd","orother","foreign","late6","urban","male","age98","date_first","full_first","wage_first","employed_36","full_36","wage_36","experience_36","employed_60","full_60","wage_60","experience_60"
"d04081",5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,25,3,1,915,1,1,1340,33,1,1,1340,57
"d04113",6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,27,7,1,1220,1,1,1500,29,1,1,1500,53
"d04139",3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,22,12,1,1122,1,1,2170,24,1,1,2173,48
"d04141",3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,20,7,1,871,1,1,976,27,1,1,976,51
"d04149",5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,25,7,1,1372,0,,,29,1,1,1982,50
"d04196",6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,21,5,1,1664,1,1,1468,20,1,1,1468,44
"d04198",5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,22,7,1,1372,1,1,1618,29,1,1,1618,53
"d04223",4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,23,7,0,,1,0,,29,1,0,,53
"d04239",6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,26,7,,,1,1,1402,29,1,1,1402,53
"d04243",4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,21,7,1,396,1,1,998,29,1,1,998,53
"d04252",4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,24,7,0,1364,1,1,1364,29,1,1,1364,53
